Member_number,Date,itemDescription,,istext
2507,25-08-2015,root vegetables,,TRUE
4620,11/3/2015,sausage,,FALSE
3365,1/2/2015,canned beer,,FALSE
2978,5/6/2015,ham,,FALSE
2910,28-07-2015,turkey,,TRUE
1061,5/9/2015,whole milk,,FALSE
3276,3/4/2015,whole milk,,FALSE
1326,19-06-2015,packaged fruit/vegetables,,TRUE
3023,28-07-2015,rolls/buns,,TRUE
2185,11/10/2015,ham,,FALSE
3552,16-06-2015,rolls/buns,,TRUE
1967,20-01-2015,other vegetables,,TRUE
4708,20-03-2015,sausage,,TRUE
2874,15-02-2015,sausage,,TRUE
4177,13-04-2015,frankfurter,,TRUE
1663,7/2/2015,rolls/buns,,FALSE
2632,2/3/2015,whole milk,,FALSE
1377,14-03-2015,curd cheese,,TRUE
4162,22-12-2015,red/blush wine,,TRUE
2270,1/7/2015,sausage,,FALSE
4829,3/11/2015,tropical fruit,,FALSE
3811,14-04-2015,red/blush wine,,TRUE
4766,29-09-2015,whole milk,,TRUE
2436,12/4/2015,frankfurter,,FALSE
3860,5/5/2015,whole milk,,FALSE
4875,12/5/2015,frozen potato products,,FALSE
1587,1/7/2015,other vegetables,,FALSE
4038,8/7/2015,citrus fruit,,FALSE
4750,21-09-2015,flour,,TRUE
1199,10/12/2015,sugar,,FALSE
1603,30-09-2015,frozen meals,,TRUE
3111,31-01-2015,chocolate,,TRUE
3894,13-12-2015,root vegetables,,TRUE
1456,18-09-2015,root vegetables,,TRUE
2022,4/3/2015,herbs,,FALSE
2505,30-11-2015,bottled water,,TRUE
4851,20-12-2015,sausage,,TRUE
4293,4/8/2015,coffee,,FALSE
2775,6/11/2015,pork,,FALSE
3693,18-02-2015,berries,,TRUE
1202,22-07-2015,soda,,TRUE
3699,23-08-2015,berries,,TRUE
4152,15-04-2015,fruit/vegetable juice,,TRUE
4155,26-01-2015,citrus fruit,,TRUE
4010,29-12-2015,pork,,TRUE
4389,20-10-2015,detergent,,TRUE
3746,17-08-2015,grapes,,TRUE
2560,17-05-2015,sausage,,TRUE
1503,25-07-2015,chicken,,TRUE
2555,23-12-2015,whole milk,,TRUE
3645,12/12/2015,citrus fruit,,FALSE
3886,11/9/2015,soda,,FALSE
2932,20-03-2015,sausage,,TRUE
1711,18-06-2015,frankfurter,,TRUE
4291,8/12/2015,sausage,,FALSE
1143,25-04-2015,soda,,TRUE
4564,8/7/2015,rolls/buns,,FALSE
3337,14-05-2015,beef,,TRUE
4931,4/5/2015,whole milk,,FALSE
2623,10/10/2015,processed cheese,,FALSE
4581,3/4/2015,tropical fruit,,FALSE
2635,11/6/2015,frankfurter,,FALSE
1095,30-10-2015,packaged fruit/vegetables,,TRUE
2990,23-05-2015,whole milk,,TRUE
2426,5/6/2015,berries,,FALSE
4555,7/11/2015,citrus fruit,,FALSE
3635,4/9/2015,tropical fruit,,FALSE
3058,18-05-2015,hamburger meat,,TRUE
4391,26-03-2015,hamburger meat,,TRUE
1306,23-06-2015,whole milk,,TRUE
1024,10/8/2015,fish,,FALSE
1295,23-07-2015,frankfurter,,TRUE
1661,1/6/2015,packaged fruit/vegetables,,FALSE
4591,15-05-2015,pastry,,TRUE
3169,14-06-2015,other vegetables,,TRUE
3915,21-05-2015,misc. beverages,,TRUE
1127,14-01-2015,frankfurter,,TRUE
4828,8/8/2015,sparkling wine,,FALSE
3683,10/6/2015,specialty bar,,FALSE
1971,18-09-2015,sausage,,TRUE
3014,11/11/2015,curd cheese,,FALSE
3779,15-09-2015,frankfurter,,TRUE
2489,4/5/2015,whole milk,,FALSE
3564,27-06-2015,newspapers,,TRUE
4092,30-09-2015,berries,,TRUE
3221,13-01-2015,curd,,TRUE
1279,6/9/2015,tropical fruit,,FALSE
2581,22-08-2015,soda,,TRUE
2295,25-02-2015,rolls/buns,,TRUE
4760,22-02-2015,canned beer,,TRUE
3649,16-01-2015,canned beer,,TRUE
1075,19-11-2015,frankfurter,,TRUE
3987,19-08-2015,other vegetables,,TRUE
4106,25-08-2015,whole milk,,TRUE
4338,24-06-2015,whole milk,,TRUE
4166,6/11/2015,citrus fruit,,FALSE
1211,10/3/2015,frankfurter,,FALSE
3954,21-01-2015,frankfurter,,TRUE
3928,18-07-2015,butter milk,,TRUE
3827,30-09-2015,hamburger meat,,TRUE
4699,8/2/2015,pasta,,FALSE
4747,8/6/2015,other vegetables,,FALSE
3028,9/6/2015,sausage,,FALSE
2851,16-03-2015,rolls/buns,,TRUE
4417,25-02-2015,grapes,,TRUE
3822,7/3/2015,root vegetables,,FALSE
2288,31-05-2015,coffee,,TRUE
2184,30-06-2015,popcorn,,TRUE
4554,27-08-2015,whole milk,,TRUE
3361,5/3/2015,tropical fruit,,FALSE
2999,17-04-2015,beef,,TRUE
2614,25-06-2015,whole milk,,TRUE
4064,5/6/2015,frankfurter,,FALSE
3567,4/10/2015,tropical fruit,,FALSE
2587,7/5/2015,canned beer,,FALSE
3783,17-06-2015,finished products,,TRUE
1923,14-02-2015,beverages,,TRUE
4835,19-02-2015,hamburger meat,,TRUE
1514,24-08-2015,whole milk,,TRUE
3154,22-06-2015,finished products,,TRUE
1313,25-12-2015,other vegetables,,TRUE
2794,18-07-2015,ham,,TRUE
2359,9/4/2015,other vegetables,,FALSE
2238,9/3/2015,curd,,FALSE
3795,17-01-2015,bottled beer,,TRUE
3724,26-11-2015,curd,,TRUE
1152,5/3/2015,whole milk,,FALSE
4559,16-03-2015,whole milk,,TRUE
3922,27-02-2015,dessert,,TRUE
1709,22-04-2015,sausage,,TRUE
2219,17-04-2015,other vegetables,,TRUE
2206,17-10-2015,ham,,TRUE
1752,6/4/2015,other vegetables,,FALSE
3942,10/11/2015,other vegetables,,FALSE
3296,17-08-2015,soda,,TRUE
2257,5/2/2015,herbs,,FALSE
4313,28-07-2015,frankfurter,,TRUE
2001,21-08-2015,rolls/buns,,TRUE
2449,8/7/2015,curd,,FALSE
4914,12/4/2015,frankfurter,,FALSE
2764,24-07-2015,other vegetables,,TRUE
4187,9/5/2015,dog food,,FALSE
1392,20-04-2015,specialty bar,,TRUE
3427,28-04-2015,curd,,TRUE
1411,20-02-2015,frankfurter,,TRUE
3390,14-11-2015,soda,,TRUE
4787,1/8/2015,beef,,FALSE
3310,17-01-2015,canned beer,,TRUE
1782,10/10/2015,pork,,FALSE
3375,26-04-2015,frankfurter,,TRUE
2760,7/1/2015,sausage,,FALSE
4249,13-09-2015,canned beer,,TRUE
2904,6/6/2015,specialty chocolate,,FALSE
4090,26-02-2015,curd,,TRUE
3060,5/7/2015,canned beer,,FALSE
3768,7/10/2015,whole milk,,FALSE
1232,21-01-2015,rolls/buns,,TRUE
1360,23-10-2015,pork,,TRUE
1107,1/10/2015,citrus fruit,,FALSE
2865,4/11/2015,pot plants,,FALSE
2958,14-06-2015,rolls/buns,,TRUE
2448,12/7/2015,butter,,FALSE
1222,24-09-2015,condensed milk,,TRUE
2943,20-06-2015,sausage,,TRUE
2270,11/8/2015,whole milk,,FALSE
3812,21-07-2015,sausage,,TRUE
1482,22-11-2015,beverages,,TRUE
4720,22-02-2015,beverages,,TRUE
1344,4/9/2015,bottled water,,FALSE
2397,4/10/2015,newspapers,,FALSE
4182,12/5/2015,cleaner,,FALSE
4487,10/7/2015,sausage,,FALSE
3467,24-12-2015,newspapers,,TRUE
2443,15-11-2015,sausage,,TRUE
2749,27-01-2015,misc. beverages,,TRUE
4389,13-04-2015,white wine,,TRUE
1674,4/12/2015,sausage,,FALSE
4262,16-10-2015,meat,,TRUE
2082,7/4/2015,frankfurter,,FALSE
4494,6/1/2015,ice cream,,FALSE
2460,28-09-2015,canned beer,,TRUE
4509,29-11-2015,tropical fruit,,TRUE
2267,3/7/2015,meat,,FALSE
4891,5/9/2015,whole milk,,FALSE
3962,20-09-2015,sausage,,TRUE
4964,18-07-2015,frankfurter,,TRUE
2914,30-11-2015,meat,,TRUE
2808,5/5/2015,root vegetables,,FALSE
1085,15-08-2015,root vegetables,,TRUE
3808,18-08-2015,whole milk,,TRUE
4149,7/1/2015,citrus fruit,,FALSE
2331,5/6/2015,citrus fruit,,FALSE
4475,3/4/2015,other vegetables,,FALSE
2761,25-04-2015,citrus fruit,,TRUE
2620,14-12-2015,sausage,,TRUE
3206,13-10-2015,frankfurter,,TRUE
1226,13-04-2015,hard cheese,,TRUE
1395,7/3/2015,cream cheese ,,FALSE
2465,7/6/2015,turkey,,FALSE
3572,9/7/2015,pork,,FALSE
4387,8/5/2015,whole milk,,FALSE
1555,27-03-2015,rolls/buns,,TRUE
1181,16-11-2015,sausage,,TRUE
2814,11/5/2015,ice cream,,FALSE
2794,16-09-2015,liquor,,TRUE
2912,28-01-2015,pip fruit,,TRUE
4667,12/1/2015,root vegetables,,FALSE
2235,25-10-2015,soda,,TRUE
2353,2/5/2015,soda,,FALSE
3449,8/3/2015,sausage,,FALSE
1058,10/11/2015,root vegetables,,FALSE
1027,17-05-2015,pork,,TRUE
3302,22-05-2015,pork,,TRUE
2229,30-05-2015,chocolate,,TRUE
2188,15-08-2015,fruit/vegetable juice,,TRUE
1547,18-04-2015,pickled vegetables,,TRUE
1649,30-06-2015,bottled water,,TRUE
3254,10/9/2015,frankfurter,,FALSE
2818,7/11/2015,tropical fruit,,FALSE
2703,8/5/2015,canned beer,,FALSE
3332,31-01-2015,root vegetables,,TRUE
2473,1/7/2015,meat,,FALSE
2810,30-12-2015,frankfurter,,TRUE
1033,22-04-2015,tropical fruit,,TRUE
4222,27-05-2015,tropical fruit,,TRUE
3679,21-09-2015,citrus fruit,,TRUE
2212,27-08-2015,hamburger meat,,TRUE
1507,22-06-2015,chicken,,TRUE
2870,21-01-2015,chicken,,TRUE
3429,26-04-2015,frankfurter,,TRUE
4148,9/4/2015,canned beer,,FALSE
2970,30-12-2015,turkey,,TRUE
2013,30-08-2015,packaged fruit/vegetables,,TRUE
3967,30-05-2015,pasta,,TRUE
2885,15-05-2015,citrus fruit,,TRUE
3935,2/7/2015,sausage,,FALSE
3283,1/5/2015,whole milk,,FALSE
3268,6/11/2015,canned beer,,FALSE
3677,30-04-2015,citrus fruit,,TRUE
3495,27-06-2015,liquor (appetizer),,TRUE
1410,4/10/2015,citrus fruit,,FALSE
2440,6/6/2015,sausage,,FALSE
4088,13-01-2015,chicken,,TRUE
2469,23-09-2015,hamburger meat,,TRUE
4229,6/3/2015,sausage,,FALSE
2728,2/8/2015,beef,,FALSE
4694,25-01-2015,citrus fruit,,TRUE
2836,29-12-2015,UHT-milk,,TRUE
1311,12/2/2015,candy,,FALSE
1760,23-01-2015,newspapers,,TRUE
3656,2/3/2015,beef,,FALSE
3720,28-05-2015,sausage,,TRUE
2996,26-09-2015,frankfurter,,TRUE
1949,22-07-2015,canned beer,,TRUE
4498,11/2/2015,bottled beer,,FALSE
2447,28-12-2015,onions,,TRUE
1952,23-03-2015,tropical fruit,,TRUE
4099,27-01-2015,bottled water,,TRUE
1804,12/3/2015,beef,,FALSE
1510,16-05-2015,sausage,,TRUE
2879,18-04-2015,hair spray,,TRUE
4899,12/3/2015,chicken,,FALSE
4326,29-09-2015,pork,,TRUE
1670,17-05-2015,ice cream,,TRUE
1117,24-05-2015,meat,,TRUE
1346,3/4/2015,other vegetables,,FALSE
1178,15-11-2015,bottled water,,TRUE
1649,25-06-2015,tropical fruit,,TRUE
4651,21-06-2015,photo/film,,TRUE
4243,2/4/2015,sausage,,FALSE
4429,21-07-2015,grapes,,TRUE
4645,25-07-2015,domestic eggs,,TRUE
4019,24-07-2015,rolls/buns,,TRUE
4459,26-04-2015,tropical fruit,,TRUE
3006,27-12-2015,chicken,,TRUE
1834,17-09-2015,frankfurter,,TRUE
3236,4/7/2015,berries,,FALSE
1765,11/3/2015,margarine,,FALSE
3855,9/3/2015,tropical fruit,,FALSE
4392,28-11-2015,ham,,TRUE
3330,26-07-2015,hamburger meat,,TRUE
1723,2/9/2015,yogurt,,FALSE
4110,30-03-2015,soda,,TRUE
2600,28-01-2015,yogurt,,TRUE
2946,7/10/2015,soda,,FALSE
2426,8/9/2015,bottled water,,FALSE
4170,3/5/2015,sausage,,FALSE
1109,6/4/2015,citrus fruit,,FALSE
3429,4/1/2015,shopping bags,,FALSE
2055,4/2/2015,newspapers,,FALSE
2480,20-09-2015,frankfurter,,TRUE
2441,30-05-2015,sausage,,TRUE
1054,4/10/2015,frankfurter,,FALSE
4818,11/1/2015,salt,,FALSE
3379,21-01-2015,oil,,TRUE
3939,10/2/2015,curd,,FALSE
1367,5/8/2015,other vegetables,,FALSE
1043,10/1/2015,citrus fruit,,FALSE
2231,17-10-2015,frankfurter,,TRUE
3235,28-12-2015,root vegetables,,TRUE
4554,16-07-2015,tropical fruit,,TRUE
3245,24-01-2015,beef,,TRUE
2996,19-05-2015,berries,,TRUE
2507,5/1/2015,canned beer,,FALSE
4186,25-10-2015,whipped/sour cream,,TRUE
3929,28-04-2015,root vegetables,,TRUE
3760,22-11-2015,whole milk,,TRUE
4928,18-08-2015,beef,,TRUE
4217,18-12-2015,frozen vegetables,,TRUE
1174,11/2/2015,rolls/buns,,FALSE
4103,19-06-2015,whole milk,,TRUE
4408,13-03-2015,whole milk,,TRUE
2588,28-12-2015,citrus fruit,,TRUE
2598,11/11/2015,pastry,,FALSE
1518,11/12/2015,frankfurter,,FALSE
2702,8/4/2015,tropical fruit,,FALSE
1001,20-01-2015,frankfurter,,TRUE
2270,30-09-2015,berries,,TRUE
2838,10/11/2015,rolls/buns,,FALSE
1683,26-05-2015,root vegetables,,TRUE
4040,3/4/2015,yogurt,,FALSE
3897,23-08-2015,other vegetables,,TRUE
2200,11/3/2015,berries,,FALSE
4073,29-01-2015,berries,,TRUE
3700,19-04-2015,other vegetables,,TRUE
3973,10/6/2015,rolls/buns,,FALSE
2715,6/7/2015,ham,,FALSE
3967,23-11-2015,whole milk,,TRUE
4002,3/9/2015,tropical fruit,,FALSE
2962,1/3/2015,bottled water,,FALSE
4340,25-12-2015,butter milk,,TRUE
2092,6/11/2015,newspapers,,FALSE
3143,24-05-2015,coffee,,TRUE
2209,3/10/2015,bottled beer,,FALSE
2816,22-08-2015,onions,,TRUE
2659,1/6/2015,hamburger meat,,FALSE
1588,13-10-2015,sausage,,TRUE
1144,15-10-2015,hard cheese,,TRUE
2166,10/12/2015,sausage,,FALSE
3300,6/10/2015,hamburger meat,,FALSE
3944,3/1/2015,onions,,FALSE
4979,24-04-2015,coffee,,TRUE
2630,21-01-2015,shopping bags,,TRUE
4240,29-04-2015,yogurt,,TRUE
2357,8/7/2015,soda,,FALSE
1743,18-04-2015,sliced cheese,,TRUE
2331,15-02-2015,sausage,,TRUE
1643,28-04-2015,yogurt,,TRUE
1291,20-03-2015,domestic eggs,,TRUE
3675,4/7/2015,whole milk,,FALSE
4134,6/11/2015,meat,,FALSE
1363,21-06-2015,dish cleaner,,TRUE
4212,1/5/2015,other vegetables,,FALSE
1500,21-03-2015,whole milk,,TRUE
2622,1/10/2015,other vegetables,,FALSE
3543,18-03-2015,tropical fruit,,TRUE
2525,24-05-2015,baking powder,,TRUE
1264,12/10/2015,specialty bar,,FALSE
3601,6/7/2015,ice cream,,FALSE
1771,23-03-2015,frankfurter,,TRUE
4694,6/2/2015,canned beer,,FALSE
1122,21-12-2015,bottled water,,TRUE
3507,12/8/2015,other vegetables,,FALSE
4524,26-04-2015,citrus fruit,,TRUE
3612,27-09-2015,sausage,,TRUE
3262,11/6/2015,domestic eggs,,FALSE
1897,25-01-2015,pork,,TRUE
1656,30-10-2015,specialty cheese,,TRUE
3953,10/1/2015,pork,,FALSE
1488,21-06-2015,beef,,TRUE
1652,17-03-2015,other vegetables,,TRUE
4953,16-09-2015,chicken,,TRUE
3445,30-04-2015,soda,,TRUE
3180,15-03-2015,whole milk,,TRUE
4934,6/9/2015,rolls/buns,,FALSE
2980,27-04-2015,bottled beer,,TRUE
2763,13-02-2015,root vegetables,,TRUE
4819,4/3/2015,pastry,,FALSE
3169,2/7/2015,berries,,FALSE
1850,11/3/2015,citrus fruit,,FALSE
4285,29-12-2015,whole milk,,TRUE
4366,13-08-2015,soda,,TRUE
2253,16-06-2015,bottled water,,TRUE
3398,11/3/2015,tropical fruit,,FALSE
2215,22-07-2015,salty snack,,TRUE
3737,3/3/2015,bottled water,,FALSE
2649,28-11-2015,chocolate,,TRUE
3203,7/8/2015,citrus fruit,,FALSE
4261,16-02-2015,bottled water,,TRUE
2435,17-07-2015,onions,,TRUE
2046,21-08-2015,dessert,,TRUE
4267,11/2/2015,beef,,FALSE
1086,28-12-2015,rolls/buns,,TRUE
1992,4/1/2015,beef,,FALSE
3622,26-07-2015,soda,,TRUE
4700,27-06-2015,coffee,,TRUE
2272,16-05-2015,rolls/buns,,TRUE
1663,19-05-2015,pork,,TRUE
2519,3/6/2015,soda,,FALSE
2639,30-10-2015,sausage,,TRUE
1466,19-04-2015,beef,,TRUE
4122,23-10-2015,whole milk,,TRUE
3598,15-04-2015,pork,,TRUE
3097,10/8/2015,berries,,FALSE
1873,19-09-2015,sausage,,TRUE
1537,1/2/2015,bottled water,,FALSE
3960,25-03-2015,tropical fruit,,TRUE
1136,15-06-2015,herbs,,TRUE
2453,21-12-2015,yogurt,,TRUE
1746,15-02-2015,Instant food products,,TRUE
3572,9/6/2015,specialty chocolate,,FALSE
3246,24-06-2015,coffee,,TRUE
3207,26-11-2015,bottled beer,,TRUE
1042,12/2/2015,beef,,FALSE
1176,30-03-2015,whole milk,,TRUE
3054,23-02-2015,frankfurter,,TRUE
4486,2/12/2015,frankfurter,,FALSE
1580,5/12/2015,other vegetables,,FALSE
1623,2/11/2015,frankfurter,,FALSE
4169,24-11-2015,whole milk,,TRUE
2254,24-01-2015,frankfurter,,TRUE
4095,1/11/2015,other vegetables,,FALSE
1264,17-11-2015,bottled water,,TRUE
3375,6/1/2015,pork,,FALSE
3242,23-05-2015,bottled water,,TRUE
2227,7/6/2015,other vegetables,,FALSE
3847,3/12/2015,hamburger meat,,FALSE
3897,31-05-2015,hamburger meat,,TRUE
1799,27-09-2015,shopping bags,,TRUE
2920,26-04-2015,whole milk,,TRUE
3713,31-01-2015,ice cream,,TRUE
4230,5/11/2015,pastry,,FALSE
1455,18-03-2015,ham,,TRUE
3687,18-03-2015,frankfurter,,TRUE
3869,1/8/2015,sausage,,FALSE
2988,14-10-2015,bottled beer,,TRUE
4242,30-03-2015,bottled water,,TRUE
4118,24-12-2015,meat,,TRUE
4996,24-10-2015,dessert,,TRUE
4489,4/3/2015,other vegetables,,FALSE
1199,9/11/2015,beverages,,FALSE
4108,12/5/2015,ham,,FALSE
3484,5/6/2015,specialty bar,,FALSE
1239,31-08-2015,brown bread,,TRUE
4839,19-12-2015,whole milk,,TRUE
4748,7/5/2015,rolls/buns,,FALSE
4426,6/6/2015,bottled beer,,FALSE
3571,11/12/2015,pet care,,FALSE
2852,8/6/2015,citrus fruit,,FALSE
3638,26-05-2015,pork,,TRUE
3635,10/3/2015,other vegetables,,FALSE
2723,7/5/2015,white wine,,FALSE
3495,11/3/2015,whole milk,,FALSE
2813,16-11-2015,pip fruit,,TRUE
2799,2/9/2015,sugar,,FALSE
4723,22-05-2015,tropical fruit,,TRUE
3313,8/4/2015,root vegetables,,FALSE
4748,15-12-2015,soda,,TRUE
2991,16-02-2015,whole milk,,TRUE
1483,1/4/2015,tropical fruit,,FALSE
3950,1/10/2015,white bread,,FALSE
1634,16-01-2015,brown bread,,TRUE
2694,21-11-2015,tropical fruit,,TRUE
2707,18-10-2015,domestic eggs,,TRUE
2813,16-07-2015,coffee,,TRUE
2276,11/1/2015,soda,,FALSE
4726,6/2/2015,whole milk,,FALSE
4353,25-05-2015,bottled beer,,TRUE
4017,13-08-2015,pork,,TRUE
1422,21-08-2015,other vegetables,,TRUE
2714,15-03-2015,yogurt,,TRUE
2769,21-07-2015,sparkling wine,,TRUE
4166,30-04-2015,bottled water,,TRUE
3614,2/3/2015,citrus fruit,,FALSE
4361,5/9/2015,hamburger meat,,FALSE
1922,22-09-2015,packaged fruit/vegetables,,TRUE
4728,6/9/2015,other vegetables,,FALSE
3646,8/8/2015,soda,,FALSE
1155,10/8/2015,whole milk,,FALSE
2119,11/6/2015,herbs,,FALSE
1602,29-08-2015,citrus fruit,,TRUE
1074,24-06-2015,misc. beverages,,TRUE
2256,11/4/2015,female sanitary products,,FALSE
1348,17-09-2015,soda,,TRUE
3806,28-08-2015,tropical fruit,,TRUE
1711,6/6/2015,soda,,FALSE
3959,12/4/2015,white bread,,FALSE
1590,15-08-2015,coffee,,TRUE
1962,8/6/2015,tropical fruit,,FALSE
1766,21-01-2015,pork,,TRUE
2551,21-10-2015,citrus fruit,,TRUE
2294,23-09-2015,frankfurter,,TRUE
4531,29-05-2015,frankfurter,,TRUE
2957,12/4/2015,frankfurter,,FALSE
4415,27-01-2015,other vegetables,,TRUE
1476,26-08-2015,yogurt,,TRUE
3978,23-07-2015,sausage,,TRUE
2062,22-09-2015,whole milk,,TRUE
3252,28-06-2015,pip fruit,,TRUE
3922,24-06-2015,whole milk,,TRUE
1491,17-10-2015,root vegetables,,TRUE
3526,26-08-2015,onions,,TRUE
4060,11/12/2015,specialty chocolate,,FALSE
1067,8/4/2015,hamburger meat,,FALSE
2840,27-01-2015,photo/film,,TRUE
4484,27-11-2015,rolls/buns,,TRUE
2353,7/2/2015,canned beer,,FALSE
3130,18-02-2015,canned beer,,TRUE
4273,14-06-2015,other vegetables,,TRUE
4565,30-12-2015,canned beer,,TRUE
2504,14-08-2015,curd,,TRUE
4127,23-10-2015,butter,,TRUE
2690,1/4/2015,other vegetables,,FALSE
4129,22-09-2015,whole milk,,TRUE
4511,29-06-2015,beef,,TRUE
1602,4/8/2015,sausage,,FALSE
4369,1/2/2015,soda,,FALSE
1302,29-09-2015,fruit/vegetable juice,,TRUE
3326,30-04-2015,rolls/buns,,TRUE
2066,21-05-2015,pip fruit,,TRUE
3483,15-01-2015,frozen vegetables,,TRUE
2840,12/2/2015,beverages,,FALSE
1807,18-05-2015,hamburger meat,,TRUE
2067,12/8/2015,root vegetables,,FALSE
3783,17-02-2015,canned beer,,TRUE
2884,4/1/2015,frozen vegetables,,FALSE
2908,15-03-2015,canned beer,,TRUE
1330,10/7/2015,newspapers,,FALSE
2293,8/5/2015,rolls/buns,,FALSE
3718,20-05-2015,hamburger meat,,TRUE
4338,25-01-2015,pip fruit,,TRUE
3486,8/11/2015,canned beer,,FALSE
3635,4/9/2015,grapes,,FALSE
2857,18-02-2015,root vegetables,,TRUE
3684,13-08-2015,citrus fruit,,TRUE
3120,20-10-2015,cling film/bags,,TRUE
3872,19-03-2015,frankfurter,,TRUE
2777,7/4/2015,whole milk,,FALSE
2702,27-05-2015,pork,,TRUE
4796,29-06-2015,chicken,,TRUE
1564,23-10-2015,sausage,,TRUE
2740,2/7/2015,specialty bar,,FALSE
1833,13-04-2015,whipped/sour cream,,TRUE
1757,23-12-2015,root vegetables,,TRUE
2975,24-10-2015,rolls/buns,,TRUE
4032,10/8/2015,other vegetables,,FALSE
3979,16-09-2015,citrus fruit,,TRUE
3772,9/3/2015,whole milk,,FALSE
4523,28-10-2015,frankfurter,,TRUE
4004,19-04-2015,coffee,,TRUE
2936,8/6/2015,ham,,FALSE
2394,21-06-2015,canned beer,,TRUE
4616,16-08-2015,canned beer,,TRUE
2362,8/7/2015,canned beer,,FALSE
3593,3/11/2015,pip fruit,,FALSE
4389,27-08-2015,pork,,TRUE
3206,11/8/2015,soap,,FALSE
4601,4/1/2015,pip fruit,,FALSE
4382,13-11-2015,beef,,TRUE
2718,8/6/2015,sausage,,FALSE
4691,12/10/2015,frozen chicken,,FALSE
3735,28-11-2015,soda,,TRUE
3900,20-12-2015,tropical fruit,,TRUE
4959,30-06-2015,other vegetables,,TRUE
1815,30-08-2015,beef,,TRUE
2454,8/4/2015,meat,,FALSE
4778,15-01-2015,meat,,TRUE
2289,4/11/2015,bottled water,,FALSE
1734,13-07-2015,rolls/buns,,TRUE
4019,5/2/2015,pastry,,FALSE
4605,28-05-2015,pork,,TRUE
4864,14-11-2015,pip fruit,,TRUE
4205,22-02-2015,beef,,TRUE
1862,3/8/2015,beef,,FALSE
1846,19-07-2015,rolls/buns,,TRUE
2019,28-05-2015,citrus fruit,,TRUE
2042,19-11-2015,meat,,TRUE
1768,26-05-2015,beverages,,TRUE
3847,26-03-2015,beef,,TRUE
3557,20-07-2015,ham,,TRUE
3975,27-02-2015,hamburger meat,,TRUE
4198,18-03-2015,beef,,TRUE
2580,4/9/2015,beef,,FALSE
3474,25-08-2015,root vegetables,,TRUE
1678,14-11-2015,citrus fruit,,TRUE
4254,14-08-2015,yogurt,,TRUE
4704,21-08-2015,tropical fruit,,TRUE
3343,10/5/2015,frankfurter,,FALSE
3812,24-06-2015,beef,,TRUE
3093,13-03-2015,shopping bags,,TRUE
2170,18-06-2015,canned beer,,TRUE
4867,29-10-2015,rolls/buns,,TRUE
3899,23-03-2015,other vegetables,,TRUE
2941,3/10/2015,hamburger meat,,FALSE
1958,3/7/2015,hamburger meat,,FALSE
2760,8/8/2015,frankfurter,,FALSE
4413,3/8/2015,bottled beer,,FALSE
1737,15-05-2015,tropical fruit,,TRUE
4202,18-02-2015,soda,,TRUE
1065,13-11-2015,frankfurter,,TRUE
3819,28-06-2015,chicken,,TRUE
2854,8/2/2015,coffee,,FALSE
4387,16-09-2015,whole milk,,TRUE
4530,12/4/2015,margarine,,FALSE
4191,3/11/2015,tropical fruit,,FALSE
3102,4/12/2015,meat,,FALSE
1946,25-01-2015,cream cheese ,,TRUE
2156,15-05-2015,newspapers,,TRUE
1444,16-12-2015,rolls/buns,,TRUE
